ID;pName
3180;David Redmiles
3182;Katsuyuki Murata
3184;Pál Weihe
3186;Esben Budtz-Jørgensen
3188;Poul J. Jørgensen
3190;Philippe Grandjean
3196;Andrei Voronkov
3200;Franco Crivellari
3201;Graziano Deambrosis
3202;Giorgio Maria Di Nunzio
3203;Marco Dussin
3204;Nicola Ferro
3208;Eric Berberich
3209;Matthias Hagen
3210;Benjamin Hiller
3211;Hannes Moser
3215;Christiane Funken
3216;Britta Schinzel
3219;Hans-hermann Büsselmann
3220;Jörg Meyer-stamer
3221;Petra Schlapp
3225;Simon Zambrovski
3228;Holger Schnädelbach
3229;Kevin Glover
3230;Nils Jäger
3231;Dave Kirk
3235;Eugene M. Izhikevich
3238;Maurice J. Chacron
